1131855,15
1207597,38
1207598,20
1097065,6
1855027,128
1096983,9
1096984,27
2333538,19
1759265,360
1887308,325
2320856,20
2141745,38
1099794,20
2333544,2
2332071,90
2320853,110
2303686,20
1907510,40
2332064,40
1500705,20
1081418,20
2407305,2
2346932,100
1345093,33
1099792,130
1843660,2
2322083,38
9558640,210
1440813,19
2333799,38
2099244,37
9994696,76
1685603,19
9725539,19
1651986,19
1642035,2
1217758,60
9387234,19
2112625,19
1696320,19
1103848,20
2066309,19
2099249,36
2309112,38
1779204,2
2101406,1
1854507,1
1854508,1
1854510,1
1887972,1
1217763,6
297343,1
1200506,10
