"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_BUERKLIN";"OC_FARNELL";"OC_NEWARK";"OC_RS";"PACKAGE";"SUPPLIER";
"5";"SMS_IP67";"SMS_IP67";"IP67";"T1_LO, T2_SOE, T4_PWR, T5_ERRINH, T9_SODS";"Großer Tastschalter  Taster Switch Schalter";"";"";"";"1217758";"";"";"";"";
"1";"SP490";"SP490";"SO08";"U$5";"";"";"";"";"9387234";"";"";"";"";
"3";"SWITCH_LED";"SWITCH_LED";"SWITCH_LED";"T3_SOE, T8_LO, T10_SODS";"";"";"";"12 G 203";"";"";"";"";"";
"2";"SWITCH_LED";"SWITCH_LED";"SWITCH_LED";"T6_PWR, T7_ERRINH";"";"";"";"12 G 205";"";"";"";"";"";
"1";"TEN3-2410N";"TEN3-2410N";"TEN3-2410N";"U$10";"";"";"";"";"";"";"801-9330";"";"";
"1";"TPS73125";"TPS731";"SOT25";"U7";"";"";"";"";"2112625";"";"";"";"";
"1";"TSR_1-2450";"TSR_1-2450";"TSR-1";"U3";"TRACO TSR-1 Series";"";"";"";"1696320";"";"";"";"";
"1";"UDN2596";"UDN2596";"DIL20";"U$4";"";"";"";"";"1103848";"";"";"";"";
"1";"XMEGA-A4UTQFP";"XMEGA-A4UTQFP";"TQFP44";"U2";"Atmel XMega A4U series processor";"";"";"";"2066309";"";"";"";"";
"3";"YELLOW";"LEDCHIPLED_1206";"CHIPLED_1206";"LED1_LO, LED2_SOE, LED3_SODS";"LED";"";"";"";"2099249";"";"";"";"";
"2";"opt";"C-EUC0805K";"C0805K";"C10, C11";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";
"1";"opt";"CRYSTALHC49S";"HC49/S";"Q1";"CRYSTAL";"";"";"";"1667008";"unknown";"";"";"";
"3";"opt";"R-EU_R0805";"R0805";"R33, R34, R35";"RESISTOR, European symbol";"";"";"";"2309112";"";"";"";"";
